id,user_id,rating,device_id,feedback_text,created_at
1,22,1,21,IP摄像头连接不稳定，经常出现断线。建议增强信号强度，确保持续稳定的视频流。,2025-06-22 16:47:00
2,7,2,7,"实际问题：智能恒温器的程序设置有些复杂，不太直观。

建议：能否简化设置流程，并增加图示指导，让用户更易上手？",2025-06-22 23:27:00
3,14,2,12,Smart Plug连接不稳定，有时突然断开。建议增强稳定性，优化与手机APP的连接速度。,2025-06-20 13:19:00
4,1,2,27,蓝牙智能插座连接不稳定，经常断开。建议优化连接稳定性，增强信号强度。,2025-06-22 19:53:00
5,8,3,2,这个Wi-Fi灯泡连接不稳定，经常断线。建议增加固件更新，优化连接稳定性。,2025-06-19 16:16:00
6,29,2,9,Smart Outlet连接不稳定，有时断开。建议增强设备稳定性，优化连接性能。,2025-06-17 12:50:00
7,19,2,20,Split空调运行噪音有点大，影响休息。建议优化风扇设计，降低噪音。,2025-06-20 08:44:00
8,16,3,15,Wi-Fi智能插座连接不稳定，建议增强信号接收能力，或提供固件更新以改善连接。,2025-06-21 01:33:00
9,30,4,9,Smart Outlet有时无法远程控制，建议增加稳定性，确保时刻在线。,2025-06-22 06:35:00
10,24,3,22,户外摄像头在雨中有时会模糊，建议增加防水功能或雨刮器，以提高图像清晰度。,2025-06-20 13:29:00
11,28,1,4,Wi-Fi门锁连接不稳定，经常断开。建议优化软件，增强Wi-Fi信号稳定性。,2025-06-20 08:56:00
12,4,3,14,无线门窗传感器安装方便，但偶尔会误报。建议优化传感器的灵敏度设置，减少误报。,2025-06-21 02:50:00
13,21,4,4,Wi-Fi门锁连接不稳定，有时无法远程开锁。建议优化网络连接性能，确保设备稳定在线。,2025-06-20 20:47:00
14,24,1,28,Motion-Activated Light Sensor感应灵敏，但经常误触。建议优化算法，减少非移动物体引起的误触发。,2025-06-19 22:42:00
15,2,1,3,Wi-Fi Plug连接不稳定，时常断线。建议优化固件，增强稳定性。,2025-06-18 14:03:00
16,5,3,19,"实际问题：Motion-Activated Light Sensor在光线充足时也会触发，造成不必要的能耗。

建议：增加光线强度检测功能，仅在暗处时激活灯光。",2025-06-22 09:50:00
17,13,5,30,Smart Bulb连接不稳定，有时无法远程控制。建议增强设备稳定性，确保持续可靠的连接。,2025-06-20 07:13:00
18,3,2,26,IP摄像头夜间画质模糊，建议增加红外夜视功能，提升夜间监控效果。,2025-06-21 00:04:00
19,16,4,7,智能温控器设置复杂，有时界面响应慢。建议优化用户界面，简化操作流程。,2025-06-22 03:54:00
20,27,2,12,Smart Plug连接不稳定，有时候断电。建议优化设备兼容性，增强信号稳定性。,2025-06-21 14:32:00
